code,en_name,en_simp,cn_name,cn_simp
0137,universityofcapetown,uoct,开普敦大学,开普敦
0138,vrijeuniversiteitamsterdam,vua,阿姆斯特丹自由大学,阿姆斯特丹自由
0139,lancasteruniversity,lu,兰卡斯特大学,兰卡斯特
0140,tuftsuniversity,tu,塔夫斯大学,塔夫斯
0141,universityofottawa,uoo,渥太华大学,渥太华
0142,ulmuniversity,uu,乌尔姆大学,乌尔姆
0143,pompeufabrauniversity,pfu,庞培法布拉大学,庞培法布拉
0144,universityofgeneva,uog,日内瓦大学,日内瓦
0145,nanjinguniversity,nu,南京大学,南京
0146,universityofexeter,uoe,埃克塞特大学,埃克塞特
0147,pohanguniversityofscienceandtechnology(postech),puosat(,浦项科技大学,浦项科技
0148,universityofsussex,uos,萨塞克斯大学,萨塞克斯
0149,universityofhamburg,uoh,汉堡大学,汉堡
0150,sant’annaschoolofadvancedstudies–pisa,ssoas–p,比萨圣安娜大学,比萨圣安娜
0151,technicaluniversityofberlin,tuob,柏林工业大学,柏林工业
0152,universitécatholiquedelouvain,ucdl,鲁汶大学（法语）,鲁汶（法语）
0153,universityofnottingham,uon,诺丁汉大学,诺丁汉
0154,scuolanormalesuperioredipisa,snsdp,比萨高等师范学院,比萨高等师范
0155,arizonastateuniversity(tempe),asu(,亚利桑那州立大学,亚利桑那州立
0156,universityofleeds,uol,利兹大学,利兹
0157,autonomousuniversityofbarcelona,auob,巴塞罗那自治大学,巴塞罗那自治
0158,universityofcologne,uoc,科隆大学,科隆
0159,universityofmannheim,uom,曼海姆大学,曼海姆
0160,universityofnotredame,uond,圣母大学,圣母
0161,shanghaijiaotonguniversity,sjtu,上海交通大学,上海交通
0162,tudresden,td,德累斯顿工业大学,德累斯顿工业
0163,universityofwürzburg,uow,维尔茨堡大学,维尔茨堡
0164,trinitycollegedublin,tcd,都柏林圣三一学院,都柏林圣三一
0165,universityofliverpool,uol,利物浦大学,利物浦
0166,bielefelduniversity,bu,比勒费尔德大学,比勒费尔德
0167,universityofleicester,uol,莱斯特大学,莱斯特
0168,universityofaberdeen,uoa,阿伯丁大学,阿伯丁
0169,universityofbologna,uob,博洛尼亚大学,博洛尼亚
0170,"rutgers,thestateuniversityofnewjersey",rtsuonj,罗格斯大学,罗格斯
0171,hongkongpolytechnicuniversity,hkpu,香港理工大学,香港理工
0172,universityofalabamaatbirmingham,uoaab,阿拉巴马大学伯明翰分校,阿拉巴马伯明翰分校
0173,northeasternuniversity,nu,东北大学,东北
0174,universityofrochester,uor,罗切斯特大学,罗切斯特
0175,universityofflorida,uof,佛罗里达大学,佛罗里达
0176,karlsruheinstituteoftechnology,kiot,卡尔斯鲁厄理工学院,卡尔斯鲁厄理工
0177,stockholmuniversity,su,斯德哥尔摩大学,斯德哥尔摩
0178,texasa&muniversity,tau,德州农工大学,德州农工
0179,universityofauckland,uoa,奥克兰大学,奥克兰
0180,"universityofcalifornia,santacruz",uocsc,加州大学圣克鲁兹分校,加州圣克鲁兹分校
0181,koreauniversity,ku,高丽大学,高丽
0182,queenslanduniversityoftechnology,quot,昆士兰科技大学,昆士兰科技
0183,"universityoferlangen,nuremberg",uoen,埃尔朗根-纽伦堡大学,埃尔朗根-纽伦堡
0184,aaltouniversity,au,阿尔托大学,阿尔托
0185,technicaluniversityofdenmark,tuod,丹麦理工大学,丹麦理工
0186,eindhovenuniversityoftechnology,euot,埃因霍温理工大学,埃因霍温理工
0187,universityofgothenburg,uog,哥德堡大学,哥德堡
0188,télécomparis,tp,巴黎高等电信学院,巴黎高等电信
0189,lomonosovmoscowstateuniversity,lmsu,莫斯科国立大学,莫斯科国立
0190,universityofmünster,uom,明斯特大学,明斯特
0191,telavivuniversity,tau,特拉维夫大学,特拉维夫
0192,universityofeastanglia,uoea,东安格利亚大学,东安格利亚
0193,universityofcanberra,uoc,堪培拉大学,堪培拉
0194,"universityofduisburg,essen",uode,杜伊斯堡-埃森大学,杜伊斯堡-埃森
0195,universityoftechnologysydney,uots,悉尼科技大学,悉尼科技
0196,universityofthewitwatersrand,uotw,金山大学,金山
0197,yonseiuniversity(seoulcampus),yu(c,延世大学,延世
0198,universityofantwerp,uoa,安特卫普大学,安特卫普
0199,cardiffuniversity,cu,卡迪夫大学,卡迪夫
0200,georgewashingtonuniversity,gwu,乔治华盛顿大学,乔治华盛顿
0201,universityoflausanne,uol,洛桑大学,洛桑
0202,universityofstandrews,uosa,圣安德鲁斯大学,圣安德鲁斯
0203,aalborguniversity,au,奥尔堡大学,奥尔堡
0204,universityofbarcelona,uob,巴塞罗那大学,巴塞罗那
0205,universityofbergen,uob,卑尔根大学,卑尔根
0206,brandeisuniversity,bu,布兰迪斯大学,布兰迪斯
0207,universityofcalgary,uoc,卡尔加里大学,卡尔加里
0208,copenhagenbusinessschool,cbs,哥本哈根商学院,哥本哈根商
0209,universityofdundee,uod,邓迪大学,邓迪
0210,écolenormalesupérieuredelyon,énsdl,里昂高等师范学院,里昂高等师范
0211,griffithuniversity,gu,格里菲斯大学,格里菲斯
0212,universityofhawai’iatmānoa,uoham,夏威夷大学马诺阿分校,夏威夷马诺阿分校
0213,hebrewuniversityofjerusalem,huoj,耶路撒冷希伯来大学,耶路撒冷希伯来
0214,universityofhohenheim,uoh,霍恩海姆大学,霍恩海姆
0215,howarduniversity,hu,霍华德大学,霍华德
0216,universityofiowa,uoi,爱荷华大学,爱荷华
0217,jamescookuniversity,jcu,詹姆斯库克大学,詹姆斯库克
0218,kingabdulazizuniversity,kau,阿卜杜勒阿齐兹国王大学,阿卜杜勒阿齐兹国王
0219,universityofkonstanz,uok,康斯坦茨大学,康斯坦茨
0220,kthroyalinstituteoftechnology,kriot,瑞典皇家理工学院,瑞典皇家理工
0221,universitélibredebruxelles,uldb,布鲁塞尔自由大学（法语）,布鲁塞尔自由（法语）
0222,universityofluxembourg,uol,卢森堡大学,卢森堡
0223,macquarieuniversity,mu,麦考瑞大学,麦考瑞
0224,universityofmassachusetts,uom,马萨诸塞大学阿默斯特分校,马萨诸塞阿默斯特分校
0225,medicaluniversityofgraz,muog,格拉茨医科大学,格拉茨医科
0226,medicaluniversityofvienna,muov,维也纳医科大学,维也纳医科
0227,universityofmiami,uom,迈阿密大学,迈阿密
0228,moscowinstituteof physics andtechnology,miot,莫斯科物理技术学院,莫斯科物理技术
0229,newcastleuniversity,nu,纽卡斯尔大学（英国）,纽卡斯尔（英国）
0230,universityofotago,uoo,奥塔戈大学,奥塔戈
0231,universityofpadua,uop,帕多瓦大学,帕多瓦
0232,"paris,suduniversity",psu,巴黎第十一大学,巴黎第十一
0233,queen’suniversitybelfast,qub,贝尔法斯特女王大学,贝尔法斯特女王
0234,universityofreading,uor,雷丁大学,雷丁
0235,royalcollegeofsurgeonsinireland(rcsi),rcosii(,爱尔兰皇家外科医学院,爱尔兰皇家外科医
0236,"stgeorge’s,universityoflondon",sguol,伦敦大学圣乔治学院,伦敦圣乔治
0237,universityofsouthflorida(tampa),uosf(,南佛罗里达大学,南佛罗里达
0238,tilburguniversity,tu,蒂尔堡大学,蒂尔堡
0239,universityoftwente,uot,特文特大学,特文特
0240,ulsannationalinstituteofscienceandtechnology(unist),uniosat(,蔚山国立科技学院,蔚山国立科技
0241,universitycollegedublin,ucd,都柏林大学学院,都柏林
0242,universityofutah,uou,犹他大学,犹他
0243,virginiapolytechnicinstituteandstateuniversity,vpiasu,弗吉尼亚理工学院,弗吉尼亚理工
0244,"vita,salutesanraffaeleuniversity",vssru,圣拉斐尔大学,圣拉斐尔
0245,vrijeuniversiteitbrussel,vub,布鲁塞尔自由大学（荷语）,布鲁塞尔自由（荷语）
0246,wakeforestuniversity,wfu,维克森林大学,维克森林
0247,universityofwaterloo,uow,滑铁卢大学,滑铁卢
0248,westernuniversity,wu,西安大略大学,西安大略
0249,william&mary,w&m,威廉玛丽学院,威廉玛丽
0250,universityofwollongong,uow,卧龙岗大学,卧龙岗
0251,alfaisaluniversity,au,阿尔法塞尔大学,阿尔法塞尔
